Date,Description,Amount,Type,Category
2024-10-30,History though must expert war factor manage talk.,496.15,debit,Transportation
2024-11-11,Whose beat blue future.,3007.29,credit,Income
2024-10-30,Money scientist require available movie without rest ground.,4570.73,credit,Income
2024-10-12,Science allow friend western idea travel resource.,114.35,debit,Groceries
2025-03-04,Far think wait she.,62.08,debit,Salary
2025-02-28,Price mind I mean.,18.45,debit,Groceries
2024-05-07,Memory feel hold.,4601.49,credit,Income
2024-10-20,Street still again despite trial before.,3568.11,credit,Income
2025-02-22,Itself often strong sure democratic name.,2462.75,credit,Income
2024-07-02,Act board me morning simply positive perhaps.,246.84,debit,Dining
2025-03-15,Everything key hundred by write begin.,424.1,debit,Salary
2024-07-07,Eat whole store no.,3293.39,credit,Income
2025-03-14,Daughter forward break challenge at quickly education.,4507.87,credit,Income
2024-11-10,Suggest cover police under.,4003.66,credit,Income
2024-07-16,Sea ten speak.,4023.78,credit,Income
2024-07-20,Skin feeling west wind thousand seven great.,34.57,debit,Rent
2024-05-04,Cut generation force late address.,456.53,debit,Transportation
2024-11-05,Big than sometimes Congress air.,392.9,debit,Healthcare
2025-01-13,Product occur whether.,497.61,debit,Salary
2024-09-26,Particularly woman according this rather here yard item.,4917.44,credit,Income
2024-04-10,Meeting reduce suffer.,436.4,debit,Utilities
2024-09-15,Opportunity energy quite quite rich personal today.,292.75,debit,Rent
2024-08-25,Economy account form phone hear expert describe.,3703.45,credit,Income
2025-02-17,Phone five within work institution able author.,181.83,debit,Entertainment
2024-05-20,Whether health analysis company national talk.,3091.08,credit,Income
2024-08-23,Discover fine catch much.,444.44,debit,Groceries
2025-02-16,Very report skill maybe spend author letter.,98.31,debit,Transportation
2024-04-12,Team peace around him.,2806.65,credit,Income
2025-03-09,Always simple large his Mr computer idea.,1657.07,credit,Income
2024-10-18,Available space lose school value institution away.,1292.31,credit,Income
2025-01-30,Author agreement customer less hundred face.,2080.34,credit,Income
2024-04-30,Shoulder hear machine walk person project art.,3535.93,credit,Income
2024-09-20,Whatever station million call know economy whatever.,269.11,debit,Rent
2024-10-02,From start early institution.,2901.66,credit,Income
2024-08-10,Mention approach six stuff and.,108.73,debit,Dining
2024-05-26,Want politics toward.,267.44,debit,Utilities
2025-03-15,Charge produce do ever success somebody study.,3217.89,credit,Income
2024-12-26,Perhaps fill must lead.,3310.17,credit,Income
2025-03-16,Computer accept foot as he ready.,209.48,debit,Healthcare
2024-09-26,Give structure everyone fear think.,4126.76,credit,Income
2024-12-28,Democrat size safe avoid among.,177.22,debit,Entertainment
2024-04-05,Break because standard inside by child.,4235.6,credit,Income
2024-05-04,About dog eat letter late can decade.,285.7,debit,Utilities
2024-04-13,Deep turn never suggest tough build.,2592.46,credit,Income
2024-07-22,Entire material identify improve.,1089.99,credit,Income
2024-07-24,Head sit past want west least see.,268.36,debit,Entertainment
2024-08-06,No return threat everyone space.,2280.24,credit,Income
2024-07-12,Grow second theory Republican.,4946.16,credit,Income
2024-09-29,Cause college idea class high realize.,1106.84,credit,Income
2025-03-11,Team friend and tree pull letter.,2173.36,credit,Income
2024-10-11,Sound above impact method democratic.,6.06,debit,Groceries
2024-11-11,To less according return with difference until.,2384.77,credit,Income
2024-08-22,Order ten sense common suffer high.,63.49,debit,Dining
2024-03-26,Recognize ball full recent can lay.,446.5,debit,Dining
2024-12-18,Audience though check mind after them walk.,4142.1,credit,Income
2024-12-22,Fall want either like adult yourself.,8.66,debit,Salary
2024-05-16,Task practice hope hair claim but.,4542.12,credit,Income
2025-01-12,Tell scene him might whatever scene hair company.,38.01,debit,Entertainment
2024-03-31,Way before yourself once health administration.,2167.17,credit,Income
2024-05-08,And image item chance.,349.69,debit,Entertainment
2024-06-24,Write agree character serious off put lot.,4702.8,credit,Income
2024-06-22,Fine seat present conference.,67.69,debit,Healthcare
2024-10-04,Control its sort into bag exist.,2534.64,credit,Income
2024-10-12,Positive recently interesting forget up Congress head.,1072.48,credit,Income
2025-02-03,Budget price upon baby power wear growth.,3189.67,credit,Income
2024-04-20,See attention relate.,2790.05,credit,Income
2024-11-13,Too plant hope machine.,2088.66,credit,Income
2024-09-30,Late traditional will so game may culture.,275.95,debit,Transportation
2024-04-24,Range rule get.,131.33,debit,Rent
2024-08-09,Opportunity study chance election bill.,2940.8,credit,Income
2024-10-20,Compare last activity future pull book about.,288.24,debit,Transportation
2025-01-23,Young walk bill talk.,4082.99,credit,Income
2024-12-13,Partner build what when fund early.,189.68,debit,Rent
2024-05-23,Store pass alone shake.,358.22,debit,Transportation
2024-05-04,Lose mention great close later poor.,17.12,debit,Healthcare
2024-10-04,Who history he maintain television.,91.52,debit,Dining
2024-05-21,Similar much well according police production generation.,1136.47,credit,Income
2024-09-20,Sense line ok learn.,129.53,debit,Salary
2025-01-06,Bar suddenly scientist detail trial member.,279.42,debit,Transportation
2024-11-29,Scene artist thought while.,2079.17,credit,Income
2024-06-05,Begin social fire inside I democratic.,1500.66,credit,Income
2024-04-12,People between travel shoulder concern full.,137.67,debit,Dining
2024-11-16,Others song road.,326.89,debit,Healthcare
2024-06-09,Career general group hand several reveal.,1676.12,credit,Income
2024-06-08,Act sense get school citizen.,1165.44,credit,Income
2025-02-18,Thank past tax radio interest important laugh result.,2813.46,credit,Income
2024-12-19,Leg toward though car.,3442.52,credit,Income
2024-12-21,Table focus choice account.,1481.0,credit,Income
2025-01-30,But style brother food community day.,3988.1,credit,Income
2024-12-27,Should technology natural line would indicate support.,184.06,debit,Transportation
2024-05-07,Again tend affect often pick question activity inside.,319.22,debit,Groceries
2024-04-24,Building pass marriage by prepare marriage campaign that.,279.58,debit,Utilities
2024-03-24,Future whose approach eat pass others board.,58.72,debit,Salary
2024-06-27,Business rest however here per quality process.,165.57,debit,Utilities
2025-01-25,Nothing customer seem although decide.,404.95,debit,Healthcare
2024-03-28,Once improve year of science at.,2877.71,credit,Income
2025-03-06,Nice two difficult mind describe give task.,370.24,debit,Transportation
2024-04-23,Future sea adult into sign particular the.,3247.1,credit,Income
2024-05-12,Toward white we indicate information more.,199.35,debit,Transportation
2024-10-12,Approach cell natural close.,67.36,debit,Salary
2024-06-23,Rate card act common north green.,4320.32,credit,Income
2024-11-22,White scene line control.,1680.29,credit,Income
2025-01-31,If skill will piece left teacher group.,2682.02,credit,Income
2025-01-26,Dinner for performance language I.,3985.74,credit,Income
2024-10-08,Describe laugh already great.,148.15,debit,Healthcare
2025-01-25,Do trip third already.,432.49,debit,Entertainment
2024-08-28,Traditional college catch tonight town.,213.75,debit,Groceries
2024-08-09,Newspaper like professor involve house maybe specific.,1179.16,credit,Income
2025-01-25,Often example hot safe area draw television.,2744.42,credit,Income
2024-12-04,Stage current medical southern.,165.85,debit,Groceries
2024-11-11,Sit responsibility decide change by though.,2846.01,credit,Income
2024-03-30,Edge you memory budget face.,2348.69,credit,Income
2024-08-23,Bag ten give action.,3243.76,credit,Income
2024-10-18,Animal same positive subject college.,164.63,debit,Healthcare
2024-07-09,Much customer scientist character force service.,2935.96,credit,Income
2024-06-02,Everything environment way leave million.,4945.65,credit,Income
2024-04-16,Shake industry you surface authority house still.,287.76,debit,Utilities
2024-05-29,Sing life street our necessary support.,278.12,debit,Salary
2024-08-25,Type certainly build.,189.01,debit,Dining
2025-01-16,Region without smile around gun charge year.,137.28,debit,Healthcare
2024-03-26,War catch watch sign your.,2053.1,credit,Income
2024-10-05,Tend challenge least ahead mouth soldier special final.,444.24,debit,Salary
2024-05-29,Challenge begin together eat.,2331.91,credit,Income
2024-08-02,Past much well begin avoid week catch.,1104.31,credit,Income
2024-06-11,End line travel even system article prepare.,421.86,debit,Utilities
2025-02-11,Amount dream near our.,2903.67,credit,Income
2024-07-30,Stay traditional blue tend protect decide religious.,295.78,debit,Transportation
2024-06-07,Key Congress stand finally shoulder hundred morning.,1179.67,credit,Income
2024-04-25,Process way time successful hit.,2771.9,credit,Income
2024-07-16,Himself no over some easy.,1679.71,credit,Income
2024-07-21,Recent arm late collection probably past.,142.75,debit,Healthcare
2024-06-28,Since see commercial listen.,4491.37,credit,Income
2024-05-14,Heavy buy up capital lawyer.,338.5,debit,Entertainment
2025-02-07,Father few change around.,4596.11,credit,Income
2024-04-06,Air team inside American.,37.99,debit,Groceries
2024-04-15,Process idea ok close arm hotel hair.,466.01,debit,Healthcare
2025-01-17,Figure statement age action hundred study.,105.12,debit,Transportation
2024-10-03,Because loss between least.,482.53,debit,Salary
2024-07-07,Really the executive law.,161.73,debit,Dining
2024-03-31,East middle nation arrive fund.,460.29,debit,Groceries
2024-07-14,Increase provide decade next concern check.,215.11,debit,Transportation
2024-09-30,Threat production clear seem prevent property.,222.34,debit,Dining
2025-01-24,Cup live this important form accept.,3240.96,credit,Income
2024-06-11,Likely why surface author beat catch.,109.76,debit,Rent
2024-07-14,Probably several article charge.,52.35,debit,Utilities
2024-04-17,Out computer coach week success woman public.,4878.7,credit,Income
2024-08-09,Leader new however chance group house.,2084.5,credit,Income
2024-05-23,Lawyer account suffer officer including.,3634.86,credit,Income
2025-01-04,Establish test water ball daughter.,1794.65,credit,Income
2024-09-20,Agency board difference.,397.96,debit,Salary
2024-12-01,Difficult somebody soldier.,127.53,debit,Utilities
2024-08-24,Magazine water international avoid.,187.24,debit,Groceries
2024-12-15,Like production easy never piece many same four.,2971.04,credit,Income
2024-04-18,Campaign poor quality memory.,109.31,debit,Rent
2024-10-13,Place piece painting news.,366.51,debit,Groceries
2024-10-13,Think western painting yes five candidate able.,2123.34,credit,Income
2025-03-05,Campaign dog matter street spend either.,3288.69,credit,Income
2024-04-02,Appear us exist stop.,159.97,debit,Entertainment
2024-09-28,Half argue eight our itself cost.,175.46,debit,Rent
2025-03-12,Media owner entire.,4430.99,credit,Income
2024-08-10,Goal call receive policy personal suffer.,1273.43,credit,Income
2024-04-25,Movie face likely.,1459.66,credit,Income
2024-10-03,Eight rise tell administration senior.,2873.17,credit,Income
2024-11-11,According prepare base soldier water.,3935.53,credit,Income
2024-05-17,Deep politics commercial collection stock international.,3838.95,credit,Income
2024-12-11,Fall quickly outside third quite real.,3328.11,credit,Income
